workout_id,walk_group
a34036ff616122952fa67c9bc11a493f8642dd7c,BAY
190a107e28ccac99b6cb2c773577f78db12c8076,nan
c0e18387229d7b4c2aebdf1131be66e82a35f5aa,BAY
