uuid,walk_group
4d0594d5-7301-574d-95a4-74107c6339dd,LOCAL
af1e839a-60f4-58e6-813b-633e966d0a6a,GNW
067a35e3-84b5-5df6-b08b-a381fe74990b,LOCAL
c504ad5c-81e6-5eb6-84d7-ef1423865e66,BAY
6f4f9b74-4451-57a8-bea3-babfa3377b13,CITY
e3845d03-ea44-593c-9fa2-6c8de300641b,SYD
c4bc36f0-1cba-5c71-8050-2245d6b8e1f0,LOCAL
161b6a71-b6d2-5085-9918-beae0c3e6768,BLUE
60f1c744-f190-569a-b789-47e2e97268b6,BAY
68d753d6-9607-5ea5-adc0-78cd2c9c302f,LOCAL
ee3b7581-d8ce-5122-900e-ce1c39171a04,GNW
5b1d118e-e640-5ef8-8d09-2b709ee0e74a,ACT
dd787c6d-1f37-5bff-afe5-1c36c15af4f0,BAY
fa86d2d2-fe74-51df-bc4d-3382bf9e3d12,LOCAL
3caa87a7-bb3e-5588-b3f0-b4c914520e9f,BAY
bdd1dac5-ba9f-5e03-a173-cf4846973246,GNW
d03e8257-27eb-5701-a42f-c7bfb62d7f95,LOCAL
3d20cdec-77c9-5b01-adeb-fce540514280,BAY
05b9a25e-5af4-52c6-a1e6-f6d2f5b1f0fb,GNW
7431af61-873e-55a7-951a-ca7b40f85537,LOCAL
bb795a66-165a-5259-912b-138ac580a32d,BAY
604baac0-a19b-5abb-bab6-d79c6d41e3c0,BAY
42387d0c-dd3e-524d-bc7b-fb67beb9e8d7,SYD
33343442-e7d9-5cef-9312-fb44fd966e42,LOCAL
fd33dcb2-16ca-513d-a5ce-8fb5c0d43a1e,BAY
e226a168-3fa7-5724-af60-05d5ce5b8672,LOCAL
5c57cded-db74-563c-bc2a-b988d05dfb4a,BAY
189ae106-1d41-54a8-bfeb-fb1731a5f47f,BAY
c4f03ae1-3ed6-5081-9f94-98e291377ab4,BAY
6793f1e9-9c9a-5ff6-88c5-88364aa0fe9c,LOCAL
8c333d79-ebb0-5616-ac63-b65d5072dd19,SYD
bfa85e50-8670-560d-89ad-4a336ab7c5c3,BAY
124872a2-77b4-5ff5-8bdf-9c5effe672fb,BAY
1b82048b-5e39-5455-9e7f-803ebc57c2a8,BAY
02178029-dc8f-5a85-8c3e-68d627c08ec7,GNW
1ac13f9b-b3e9-530c-ab71-02ce3c5a707a,GNW
c9b4c24e-75d3-563b-8a38-2cac94a51b0e,LOCAL
f48221b4-812f-5b00-9bd0-7063c43a1fe4,NOT
