"walk_group","walk_group_name"
"B2M","Bondi to Manly"
"B2W","Bondi to Wollongong"
"D2C","Drummoyne to Cockatoo"
"GNW","Great North Walk"
"GTL","Gladesville Loop"
"GWW","Great West Walk"
"OLDB","Old Bar"
"STM","St. Michael’s Golf Course"
"SNWY","Snowy Mountains (Thredbo)"
"BAY","Bay Run"
"LOCAL","Walks around home (not BAY)"
"NOT","Not labelled (minor workout)"
